"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"16781","Punjab","Construction of common work sheds/ common covered sitting area","WS/MP18158/2025-2026/205039","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","12-Jan-2026","LUXMI PIPE STORE","Payment Success","49230"
"16782","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161897","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","09-Mar-2026","Nightstar Shangpliang","Payment Success","100000"
"16783","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161897","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","13-Jan-2026","Nightstar Shangpliang","Payment Success","100000"
"16784","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP381/2025-2026/228064","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","13-Mar-2026","SAGGU BUILDING MATERIAL","Payment Success","56000"
"16785","Meghalaya","Construction of foot over bridge (FOB)","WS/MP18137/2025-2026/161920","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","13-Aug-2026","Josephine Sangriang","Payment Success","500000"
"16786","Meghalaya","Construction of foot over bridge (FOB)","WS/MP18137/2025-2026/161920","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","09-Mar-2026","Josephine Sangriang","Payment Success","500000"
"16787","Assam","Construction of buildings for community cultural activities","WS/MP18029/2025-2026/212572","SONITPUR(Deputy Commissioner Sonitpur, Tezpur)","RANJIT DUTTA","Sonitpur","30-Jan-2026","ANJAN KALITA","Payment Success","299160"
"16788","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/239927","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","18-Mar-2026","GRAM PANCHAYAT SURVA","Payment Success","298991"
"16789","Meghalaya","Development of playground","WS/MP18137/2025-2026/233025","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","31-Mar-2026","Tranlyroy Kharbani","Payment Success","125000"
"16790","Meghalaya","Development of playground","WS/MP18137/2025-2026/233025","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","20-May-2026","Tranlyroy Kharbani","Payment Success","125000"
"16791","Assam","Construction of buildings for community cultural activities","WS/MP18029/2025-2026/212575","SONITPUR(Deputy Commissioner Sonitpur, Tezpur)","RANJIT DUTTA","Sonitpur","30-Jan-2026","PRABIN NATH","Payment Success","153600"
"16792","Assam","Construction of buildings for community cultural activities","WS/MP18029/2025-2026/212575","SONITPUR(Deputy Commissioner Sonitpur, Tezpur)","RANJIT DUTTA","Sonitpur","31-Jul-2026","PRABIN NATH","Payment Success","48642"
"16793","Assam","Construction of buildings for community cultural activities","WS/MP18029/2025-2026/212575","SONITPUR(Deputy Commissioner Sonitpur, Tezpur)","RANJIT DUTTA","Sonitpur","11-Mar-2026","PRABIN NATH","Payment Success","256012"
"16794","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161909","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","18-Jun-2026","Phrangding Lyngkhoi","Payment Success","100000"
"16795","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161909","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","19-Mar-2026","Phrangding Lyngkhoi","Payment Success","100000"
