"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"16796","West Bengal","Lighting of public spaces","WS/MP243/2025-2026/217215","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Kakoli Ghosh Dastidar","BARASAT","16-Jan-2026","SREEJITA ENGINEERING","Payment Success","533180"
"16797","West Bengal","Lighting of public spaces","WS/MP243/2025-2026/217213","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Kakoli Ghosh Dastidar","BARASAT","16-Jan-2026","SREEJITA ENGINEERING","Payment Success","532975"
"16798","West Bengal","Lighting of public spaces","WS/MP243/2025-2026/217212","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Kakoli Ghosh Dastidar","BARASAT","16-Jan-2026","SREEJITA ENGINEERING","Payment Success","533024"
"16799","West Bengal","Lighting of public spaces","WS/MP243/2025-2026/217214","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Kakoli Ghosh Dastidar","BARASAT","16-Jan-2026","SREEJITA ENGINEERING","Payment Success","533194"
"16800","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/239932","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","13-Feb-2026","GRAM PANCHAYAT BHIMDEVAL","Payment Success","295385"
"16801","Andhra Pradesh","Providing supply pipelines for drinking water","WS/MP524/2025-2026/191958","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Midhun Reddy","RAJAMPET","13-Jan-2026","SNR ENTERPRISES","Payment Success","299239"
"16802","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161908","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","20-Jan-2026","Bijoystar K Lyngdoh","Payment Success","150000"
"16803","Meghalaya","Construction of rooms and halls in school and colleges","WS/MP18137/2025-2026/161908","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","31-Mar-2026","Bijoystar K Lyngdoh","Payment Success","150000"
"16804","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229293","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","03-Mar-2026","Madasamy A","Payment Success","388212"
"16805","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229291","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","04-Mar-2026","Madasamy A","Payment Success","388212"
"16806","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229290","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","04-Mar-2026","Madasamy A","Payment Success","388212"
"16807","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229294","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","04-Mar-2026","Madasamy A","Payment Success","388212"
"16808","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/229292","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","03-Mar-2026","Madasamy A","Payment Success","388212"
"16809","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/214690","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","12-Feb-2026","Madasamy A","Payment Success","900000"
"16810","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP18338/2025-2026/172097","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","24-Jan-2026","GOLUSULA RAMA KRISHNA","Payment Success","163507"
"16811","Meghalaya","Construction of boundary walls of existing public and community buildings","WS/MP18137/2025-2026/161912","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","27-Feb-2026","Pingstarwell Nongphud","Payment Success","100000"
"16812","Meghalaya","Construction of boundary walls of existing public and community buildings","WS/MP18137/2025-2026/161912","WEST KHASI HILLS(DEPUTY COMMISSIONER WEST KHASI HILLS NONGSTOIN_IDA)","ANDREW J. SYNGKON","SHILLONG","13-Jan-2026","Pingstarwell Nongphud","Payment Success","100000"
"16813","Punjab","Providing supply pipelines for drinking water","WS/MP716/2025-2026/226670","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Feb-2026","Kiranjeet Kaur Sarpanch Piplian","Payment Success","97728"
"16814","Meghalaya","Street lights","WS/MP18137/2025-2026/232564","EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)","ANDREW J. SYNGKON","SHILLONG","19-Jan-2026","PYNBIANGBOR SAD","Payment Success","200000"
"16815","Jammu And Kashmir","Security gates in streets/public place for safety purpose","WS/MP18260/2025-2026/189831","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","24-Jan-2026","Shabeer Ahmad","Payment Success","137800"
"16816","Telangana","Construction of community centers and community halls","WS/MP18338/2025-2026/241589","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","13-Jan-2026","D Parushuramulu","Payment Success","500000"
"16817","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP18338/2025-2026/239156","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","CHAMALA KIRAN KUMAR REDDY","BHONGIR","27-Feb-2026","D Parushuramulu","Payment Success","500000"
